query_movie_id,query_title,model,rank,recommended_movie_id,recommended_title,cosine_similarity,recommended_overview
155,The Dark Knight,minilm,1,736073,"Batman: The Long Halloween, Part One",0.7640303373336792,"Following a brutal series of murders taking place on Halloween, Thanksgiving, and Christmas, Gotham City's young vigilante known as the Batman sets out to pursue the mysterious serial killer alongside police officer James Gordon and district attorney Harvey Dent."
155,The Dark Knight,minilm,2,736074,"Batman: The Long Halloween, Part Two",0.7254387140274048,"As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones."
155,The Dark Knight,minilm,3,268,Batman,0.7074058651924133,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne fights crime in Gotham City disguised as Batman, a costumed hero who strikes fear into the hearts of villains. But when a deformed madman known as 'The Joker' seizes control of Gotham's criminal underworld, Batman must face his most ruthless nemesis ever while protecting both his identity and his love interest, reporter Vicki Vale."
155,The Dark Knight,minilm,4,49026,The Dark Knight Rises,0.701888382434845,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
155,The Dark Knight,minilm,5,382322,Batman: The Killing Joke,0.6480504274368286,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness."
155,The Dark Knight,minilm,6,471474,Batman: Gotham by Gaslight,0.647676944732666,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper."
155,The Dark Knight,minilm,7,209112,Batman v Superman: Dawn of Justice,0.6413317918777466,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
155,The Dark Knight,minilm,8,414906,The Batman,0.6330636739730835,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
155,The Dark Knight,minilm,9,21683,Batman: Mystery of the Batwoman,0.6228986978530884,"As if the Penguin wasn't enough to contend with, a new vigilante has surfaced in Gotham City, and her strong-arm tactics give Batman cause for concern. Being the World's Greatest Detective and The Dark Knight, he sets out to uncover her identity while stopping a dangerous criminal plot."
155,The Dark Knight,minilm,10,272,Batman Begins,0.6147927045822144,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman."
155,The Dark Knight,mpnet,1,49026,The Dark Knight Rises,0.8282350301742554,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
