cluster,rank,title,genres,overview,centroid_distance
0,1,Psychokinesis,"[""Fantasy"", ""Action"", ""Comedy""]","An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",0.5494874
0,2,Hello World,"[""Animation"", ""Romance"", ""Science Fiction"", ""Drama""]","A shy high schooler in Kyoto meets a man claiming to be his future self, who tells him he’s hacked into the past to save their first love.",0.55714387
0,3,Black Box,"[""Horror"", ""Science Fiction""]","After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",0.5574293
0,4,A-X-L,"[""Science Fiction"", ""Action"", ""Adventure"", ""Family""]",The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,0.5583705
0,5,Total Recall,"[""Action"", ""Science Fiction"", ""Thriller""]","Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",0.55915964
1,1,Dragon,"[""Drama"", ""Action"", ""Thriller""]","A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",0.51601064
1,2,Ong-Bak,"[""Action"", ""Crime"", ""Thriller""]","When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",0.5321674
1,3,Fearless,"[""Drama"", ""Action""]","After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",0.5352633
1,4,Ip Man: The Final Fight,"[""Action"", ""Drama""]",Ip Man reluctantly begins a series of challenges from rival kung fu schools and is soon drawn into the dark and dangerous world of the Triads.,0.5389877
1,5,Hard Target 2,"[""Action"", ""Thriller""]","Forced into a deadly cat-and-mouse game, a disgraced mixed martial arts fighter is hunted through the jungles of Southeast Asia.",0.54063493
2,1,"The Boy, the Mole, the Fox and the Horse","[""Animation"", ""Family"", ""Drama"", ""Adventure""]","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",0.5567659
2,2,Balto: Wolf Quest,"[""Family"", ""Animation"", ""Adventure""]",Balto and his daughter Aleu embark on a journey of adventure and self discovery.,0.5747944
2,3,Turkish for Beginners,"[""Comedy""]","During an emergency landing on a deserted island suddenly traumatized by antiauthoritarian education Lena Schneider together with the Turkish Super Macho Cem Öztürk must fight for survival. After initially Cem macho repulsive acts on Lena, a jellyfish in the water and sand in a bikini, she recognizes the time the romantic core behind his cool facade. Meanwhile, meet also their parents, who obdurate psychologist Doris and Metin Öztürk to work together to find their missing children. So both generations take an involuntary Turkish Basic Course for beginners.",0.57518756
2,4,The Rugrats Movie,"[""Adventure"", ""Animation"", ""Comedy"", ""Family""]","The Pickles family welcome a new arrival, Dil, whose constant crying and need for attention quickly exhaust the other toddlers. Seeking to return the ""broken"" baby to the hospital, the gang embarks on a journey in a Reptar Wagon that inadvertently veers off course, leaving them stranded in a vast, dangerous forest. While facing off against escaped circus monkeys and a predatory wolf, Tommy must overcome his own resentment to protect his brother and make it back home.",0.5753975
2,5,Free Willy,"[""Family"", ""Adventure"", ""Drama""]","When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",0.57687426
3,1,The Children,"[""Horror"", ""Mystery"", ""Thriller""]",A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.,0.5297996
3,2,Speak No Evil,"[""Horror"", ""Thriller""]","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",0.55199295
